日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/02/27,"44,699,119","11,061,945,363",250.50,250.50,246.00,246.00,-0.50,"10,908"
107/02/26,"36,165,810","8,910,352,170",247.00,247.50,245.00,246.50,+1.50,"12,565"
107/02/23,"26,985,776","6,578,657,620",241.00,245.00,241.00,245.00,+5.50,"10,178"
107/02/22,"45,492,993","10,977,665,819",244.00,244.00,239.00,239.50,-3.00,"10,071"
107/02/21,"76,396,174","18,582,475,956",244.50,244.50,242.00,242.50,+6.00,"21,512"
107/02/12,"42,917,236","10,113,012,768",235.50,237.50,235.00,236.50,+4.00,"10,851"
107/02/09,"65,939,265","15,227,192,540",230.00,233.00,228.50,232.50,-6.00,"19,749"
107/02/08,"31,192,550","7,468,970,072",239.50,242.00,238.00,238.50,-1.50,"10,274"
107/02/07,"82,299,178","19,903,032,966",245.00,245.50,239.50,240.00,+1.00,"22,962"
107/02/06,"104,448,048","24,944,565,955",242.50,243.50,234.00,239.00,-14.00,"35,455"
107/02/05,"46,554,379","11,742,299,859",251.00,254.50,250.50,253.00,-6.50,"16,909"
107/02/02,"25,707,560","6,633,344,540",259.00,260.00,255.00,259.50, 0.00,"11,404"
107/02/01,"30,900,457","8,022,694,430",257.50,261.00,257.00,259.50,+4.50,"13,598"
107/01/31,"45,807,808","11,670,582,000",253.00,257.50,252.00,255.00,+2.00,"13,553"
107/01/30,"37,410,591","9,523,980,994",256.00,257.50,252.50,253.00,-5.50,"12,987"
107/01/29,"31,306,234","8,067,780,117",259.00,261.50,255.00,258.50,+3.50,"12,211"
107/01/26,"43,514,523","11,101,977,348",256.50,257.50,253.50,255.00,-3.00,"12,821"
107/01/25,"46,214,756","11,981,089,514",258.00,264.00,256.50,258.00, 0.00,"15,826"
107/01/24,"42,600,813","11,022,372,004",263.00,263.00,256.50,258.00,-8.00,"17,287"
107/01/23,"34,606,444","9,155,080,569",262.50,266.00,262.50,266.00,+4.50,"13,993"
107/01/22,"45,907,509","11,934,882,643",257.50,262.00,257.00,261.50,+6.00,"13,558"
107/01/19,"55,061,292","13,975,174,348",253.50,255.50,251.50,255.50,+7.00,"18,801"
107/01/18,"50,119,952","12,406,562,364",245.00,250.00,245.00,248.50,+6.50,"19,482"
107/01/17,"38,118,119","9,207,582,787",240.50,243.00,239.00,242.00,+1.50,"12,593"
107/01/16,"23,407,632","5,609,009,540",240.00,240.50,238.00,240.50,+0.50,"8,156"
107/01/15,"28,576,533","6,832,851,887",240.00,240.00,238.00,240.00,+3.00,"9,756"
107/01/12,"23,141,291","5,463,302,207",234.50,238.00,233.50,237.00,+2.00,"7,905"
107/01/11,"32,070,338","7,500,674,455",235.00,236.00,232.50,235.00,-1.50,"9,199"
107/01/10,"25,716,220","6,118,683,273",241.50,242.00,236.00,236.50,-5.50,"10,534"
107/01/09,"19,043,123","4,588,314,012",242.00,242.00,239.50,242.00, 0.00,"7,124"
107/01/08,"21,846,692","5,281,823,362",242.00,242.50,240.50,242.00,+2.00,"10,251"
107/01/05,"23,721,255","5,681,934,695",240.00,240.00,238.00,240.00,+0.50,"8,659"
107/01/04,"29,179,613","6,963,192,636",240.00,240.00,236.50,239.50,+2.50,"10,953"
107/01/03,"31,706,091","7,504,382,512",236.00,238.00,235.50,237.00,+4.50,"13,633"
107/01/02,"18,055,269","4,188,555,408",231.50,232.50,231.00,232.50,+3.00,"9,954"
106/12/29,"25,610,443","5,861,624,377",227.50,230.00,226.50,229.50,+3.50,"8,325"
106/12/28,"24,370,371","5,521,736,966",226.50,228.00,225.00,226.00,+1.00,"7,413"
106/12/27,"12,515,245","2,820,168,625",225.00,226.00,225.00,225.00,-1.00,"5,717"
106/12/26,"13,755,843","3,118,538,018",229.00,229.00,225.00,226.00,-2.50,"3,550"
106/12/25,"4,579,675","1,045,118,165",228.00,229.50,226.50,228.50,+1.00,"2,288"
106/12/22,"19,106,483","4,315,809,802",225.00,227.50,224.00,227.50,+2.50,"6,146"
106/12/21,"20,826,164","4,696,105,505",226.50,227.00,224.50,225.00,+0.50,"5,893"
106/12/20,"34,514,333","7,748,610,375",225.00,225.50,223.50,224.50,-0.50,"10,336"
106/12/19,"25,899,129","5,844,605,314",226.50,228.50,224.00,225.00,-2.00,"7,609"
106/12/18,"15,702,664","3,565,805,928",227.00,228.00,226.50,227.00,-3.00,"5,961"
106/12/15,"42,725,779","9,781,791,170",228.50,230.00,226.50,230.00,-0.50,"7,602"
106/12/14,"17,263,313","3,956,456,249",228.00,230.50,227.50,230.50,+3.50,"6,689"
106/12/13,"19,619,331","4,454,578,768",227.50,228.00,226.50,227.00,-0.50,"6,108"
106/12/12,"28,188,584","6,399,536,562",229.50,229.50,225.00,227.50, 0.00,"6,210"
106/12/11,"20,649,609","4,706,571,094",228.50,229.00,227.00,227.50,+0.50,"6,384"
106/12/08,"38,183,260","8,678,808,540",231.00,231.00,224.50,227.00,+0.50,"9,485"
106/12/07,"41,619,903","9,349,711,831",226.50,226.50,222.50,226.50,-0.50,"13,336"
106/12/06,"34,031,690","7,752,572,207",228.00,229.50,226.50,227.00,-2.50,"10,749"
106/12/05,"30,189,765","6,938,661,754",231.00,231.00,228.50,229.50,-4.50,"11,202"
106/12/04,"22,939,032","5,347,622,547",232.50,234.50,231.00,234.00,+3.00,"7,763"
106/12/01,"38,356,265","8,830,392,980",228.50,233.50,227.50,231.00,+5.00,"17,632"
106/11/30,"112,262,770","25,539,072,296",226.50,230.50,226.00,226.00,-8.50,"21,352"
106/11/29,"26,535,797","6,234,161,137",235.00,236.00,234.50,234.50,+0.50,"6,976"
106/11/28,"47,834,178","11,198,457,400",234.50,235.00,233.00,234.00,-3.00,"15,262"
106/11/27,"32,247,327","7,696,717,391",240.00,240.00,237.00,237.00,-7.00,"14,743"
106/11/24,"11,404,453","2,777,319,771",242.00,244.50,241.50,244.00,+1.50,"3,910"
106/11/23,"9,562,763","2,320,934,646",242.00,243.50,241.50,242.50,+0.50,"4,253"
106/11/22,"27,251,431","6,631,376,152",244.50,244.50,242.00,242.00,-1.00,"7,655"
106/11/21,"22,878,024","5,529,803,248",240.00,243.00,239.50,243.00,+4.50,"7,942"
106/11/20,"19,811,271","4,744,311,377",241.00,241.50,238.00,238.50,-3.00,"5,935"
106/11/17,"18,741,825","4,528,440,917",240.50,242.50,240.50,241.50,+3.50,"5,647"
106/11/16,"17,274,172","4,118,927,788",238.00,240.00,237.50,238.00,+0.50,"5,683"
106/11/15,"29,720,308","7,063,591,898",239.00,239.50,236.00,237.50,-2.50,"9,224"
106/11/14,"17,229,176","4,132,433,432",241.00,241.00,239.00,240.00,+0.50,"4,130"
106/11/13,"12,087,858","2,904,559,294",240.00,241.50,239.50,239.50,-1.00,"4,288"
106/11/10,"15,061,296","3,629,826,936",240.00,242.00,239.50,240.50,-0.50,"4,465"
106/11/09,"21,366,949","5,151,628,572",240.50,243.00,240.00,241.00,-1.50,"6,339"
106/11/08,"14,579,103","3,536,455,029",243.00,243.50,242.00,242.50,-1.50,"4,610"
106/11/07,"21,689,261","5,266,500,464",242.00,244.00,241.50,244.00,+4.50,"6,729"
106/11/06,"21,029,515","5,063,670,900",243.50,244.00,239.00,239.50,+0.50,"6,601"
106/11/03,"18,327,682","4,386,122,470",240.50,241.00,238.50,239.00,-2.00,"5,621"
106/11/02,"16,309,342","3,940,181,714",242.00,242.50,240.50,241.00,-1.50,"5,912"
106/11/01,"20,465,054","4,975,624,502",243.50,245.00,241.50,242.50,-0.50,"6,464"
106/10/31,"22,582,013","5,497,062,659",243.50,245.00,241.50,243.00, 0.00,"8,176"
106/10/30,"30,241,990","7,358,619,170",242.00,245.00,241.50,243.00,+4.00,"10,609"
106/10/27,"18,040,541","4,304,460,160",237.50,240.00,237.50,239.00,+3.00,"5,715"
106/10/26,"12,959,717","3,069,618,429",237.00,238.00,236.00,236.00,-2.00,"4,947"
106/10/25,"17,205,187","4,099,505,436",238.50,239.00,237.50,238.00, 0.00,"5,808"
106/10/24,"16,100,570","3,842,463,252",240.00,240.00,238.00,238.00,-1.00,"6,034"
106/10/23,"15,959,559","3,820,927,681",239.00,240.00,238.50,239.00,+1.50,"6,686"
106/10/20,"27,056,035","6,456,386,670",238.00,239.50,237.50,237.50,-1.50,"7,206"
106/10/19,"23,481,776","5,636,769,464",239.50,241.50,239.00,239.00,+1.50,"9,033"
106/10/18,"28,970,850","6,901,364,183",239.50,239.50,237.00,237.50,+2.00,"10,330"
106/10/17,"17,652,304","4,171,891,244",238.00,238.00,235.00,235.50,-2.50,"6,336"
106/10/16,"20,673,072","4,906,963,355",237.50,238.00,236.00,238.00,+0.50,"6,764"
106/10/13,"23,145,071","5,465,540,327",237.50,237.50,234.50,237.50, 0.00,"10,507"
106/10/12,"44,176,186","10,450,920,432",235.00,237.50,234.50,237.50,+4.50,"16,490"
106/10/11,"67,649,562","15,633,206,754",226.50,233.50,226.50,233.00,+8.50,"20,879"
106/10/06,"16,040,516","3,604,683,862",225.00,225.50,223.50,224.50, 0.00,"7,612"
106/10/05,"25,397,939","5,691,251,336",222.00,225.50,222.00,224.50,+2.00,"8,601"
106/10/03,"38,330,938","8,497,244,691",219.00,223.00,219.00,222.50,+2.00,"12,703"
106/10/02,"28,360,551","6,233,064,680",219.50,220.50,218.50,220.50,+4.00,"10,605"
106/09/30,"4,254,045","924,823,765",218.00,218.50,216.50,216.50, 0.00,"2,446"
106/09/29,"23,954,708","5,184,362,760",216.00,217.50,215.50,216.50,+2.50,"7,507"
106/09/28,"31,616,062","6,788,534,834",215.00,216.00,213.50,214.00,-1.00,"7,749"
106/09/27,"24,794,510","5,353,580,844",217.50,217.50,215.00,215.00,+1.00,"7,326"
106/09/26,"25,003,901","5,392,244,669",217.50,218.00,214.00,214.00,-3.00,"8,768"
106/09/25,"17,458,286","3,797,761,662",217.50,218.50,217.00,217.00,-1.50,"6,250"
106/09/22,"22,456,370","4,930,530,220",221.50,222.00,218.50,218.50,-2.50,"7,431"
106/09/21,"18,645,565","4,125,047,365",221.00,223.00,220.00,221.00,-0.50,"6,604"
106/09/20,"23,434,237","5,179,958,449",221.00,222.00,220.00,221.50, 0.00,"9,347"
106/09/19,"26,255,575","5,742,129,525",221.50,221.50,220.00,221.50,+2.00,"11,072"
106/09/18,"17,812,705","3,905,801,892",219.00,220.00,218.00,219.50,+1.00,"6,714"
106/09/15,"48,901,103","10,668,230,939",218.50,219.00,217.00,218.50, 0.00,"5,253"
106/09/14,"21,508,567","4,701,852,606",218.50,219.00,217.50,218.50,+0.50,"6,314"
106/09/13,"18,336,541","3,998,984,438",217.50,219.00,217.50,218.00,-1.00,"4,598"
106/09/12,"24,862,321","5,437,521,978",219.00,219.50,217.50,219.00,+2.00,"5,992"
106/09/11,"19,387,886","4,215,723,762",219.00,219.50,216.50,217.00,-1.00,"5,305"
106/09/08,"25,512,045","5,549,520,265",217.00,218.00,216.50,218.00,+1.00,"7,969"
106/09/07,"19,198,540","4,170,321,680",218.00,218.50,216.00,217.00, 0.00,"6,586"
106/09/06,"28,148,528","6,117,444,609",216.50,218.00,216.00,217.00,-1.00,"6,999"
106/09/05,"34,514,275","7,503,488,603",218.00,218.00,216.50,218.00,+0.50,"7,065"
106/09/04,"15,053,185","3,273,164,145",216.50,218.00,215.50,217.50,+1.00,"8,635"
106/09/01,"17,805,405","3,851,834,126",215.00,217.50,215.00,216.50, 0.00,"6,956"
106/08/31,"26,945,202","5,837,056,904",217.50,218.00,215.50,216.50,-1.00,"6,585"
106/08/30,"19,674,310","4,274,683,770",216.00,218.00,216.00,217.50,+1.50,"6,732"
106/08/29,"16,561,161","3,569,385,647",216.00,216.00,215.00,216.00, 0.00,"5,587"
106/08/28,"16,512,159","3,564,102,094",215.00,216.50,215.00,216.00,-1.50,"5,673"
106/08/25,"10,975,387","2,384,766,481",217.50,217.50,216.00,217.50,+0.50,"5,546"
106/08/24,"15,426,842","3,341,510,582",216.00,217.00,215.50,217.00,+1.50,"6,953"
106/08/23,"11,757,917","2,531,926,275",215.50,216.00,214.00,215.50,+1.00,"5,873"
106/08/22,"17,330,415","3,710,809,960",213.50,214.50,213.00,214.50,+3.00,"7,908"
106/08/21,"13,847,499","2,934,064,688",212.50,213.00,211.50,211.50,-1.00,"5,152"
106/08/18,"14,363,526","3,043,468,038",212.00,213.00,211.00,212.50,-1.50,"3,999"
106/08/17,"8,353,232","1,785,167,148",213.50,214.00,213.00,214.00,+1.00,"3,120"
106/08/16,"25,206,990","5,357,190,370",214.50,214.50,211.00,213.00,-1.00,"8,610"
106/08/15,"14,385,915","3,073,117,310",213.00,214.50,213.00,214.00,+3.00,"5,250"
106/08/14,"29,414,616","6,233,486,198",213.50,214.00,210.00,211.00,-1.50,"7,719"
106/08/11,"41,592,129","8,803,564,627",211.00,213.50,210.50,212.50,-1.50,"13,751"
106/08/10,"27,440,049","5,866,558,686",215.50,215.50,212.50,214.00,-0.50,"8,227"
106/08/09,"28,129,447","6,035,247,455",215.00,215.50,213.50,214.50,-3.00,"9,826"
106/08/08,"25,223,804","5,483,118,368",217.50,219.00,216.00,217.50,+1.50,"8,404"
106/08/07,"21,594,977","4,653,776,958",213.50,216.50,213.50,216.00,+3.00,"7,115"
106/08/04,"22,187,420","4,735,259,954",213.50,214.00,212.50,213.00,-0.50,"5,240"
106/08/03,"27,097,397","5,779,905,218",213.00,214.00,212.50,213.50,-2.50,"7,041"
106/08/02,"30,528,035","6,574,998,275",214.00,216.00,214.00,216.00,+4.00,"11,028"
106/08/01,"20,314,999","4,325,934,287",212.50,214.00,212.00,212.00,-2.50,"7,318"
106/07/31,"20,363,314","4,352,541,276",211.50,214.50,211.50,214.50,+1.50,"6,039"
106/07/28,"21,121,133","4,498,197,191",213.00,214.00,212.50,213.00,-2.50,"7,997"
106/07/27,"23,045,021","4,959,471,015",213.50,216.00,213.50,215.50,+2.50,"9,138"
106/07/26,"15,900,563","3,393,269,119",215.00,215.00,212.50,213.00,-1.00,"5,219"
106/07/25,"13,853,196","2,965,264,666",214.00,214.50,213.50,214.00,-0.50,"4,836"
106/07/24,"20,002,702","4,279,712,228",213.50,214.50,213.00,214.50,+0.50,"6,805"
106/07/21,"15,422,136","3,302,914,894",214.00,215.00,213.50,214.00,-1.50,"7,558"
106/07/20,"20,795,770","4,468,108,550",215.00,215.50,214.00,215.50,+1.00,"8,261"
106/07/19,"20,661,381","4,428,023,668",212.50,215.00,212.50,214.50,+0.50,"11,699"
106/07/18,"18,756,453","3,998,545,790",213.00,214.00,212.00,214.00,+1.00,"8,905"
106/07/17,"21,400,126","4,566,620,338",215.00,215.50,211.50,213.00, 0.00,"8,537"
106/07/14,"22,364,167","4,773,890,099",213.00,214.50,212.00,213.00,-1.50,"9,330"
106/07/13,"50,136,849","10,735,533,186",212.00,216.00,211.50,214.50,+4.00,"16,903"
106/07/12,"26,887,728","5,690,155,100",211.00,212.50,210.50,210.50,-1.50,"9,582"
106/07/11,"34,593,975","7,275,696,778",208.00,212.00,207.50,212.00,+6.00,"11,217"
106/07/10,"13,326,526","2,749,724,552",206.50,207.00,206.00,206.00, 0.00,"5,812"
106/07/07,"21,567,705","4,449,245,335",207.00,207.50,205.50,206.00,-1.50,"8,234"
106/07/06,"15,260,726","3,166,474,008",208.00,208.50,207.00,207.50,-1.00,"4,473"
106/07/05,"23,463,030","4,868,199,460",207.00,208.50,206.50,208.50,+1.50,"7,278"
106/07/04,"21,592,272","4,476,915,676",208.00,208.50,207.00,207.00,-2.00,"8,990"
106/07/03,"21,066,605","4,382,736,445",207.50,209.00,207.00,209.00,+0.50,"7,037"
106/06/30,"31,709,978","6,580,047,422",206.50,208.50,206.50,208.50,-1.50,"9,805"
106/06/29,"27,049,234","5,678,566,197",210.50,210.50,208.50,210.00,+1.50,"8,431"
106/06/28,"52,273,921","10,919,812,400",209.50,210.00,208.00,208.50,-3.00,"15,953"
106/06/27,"44,504,785","9,437,315,205",214.00,214.00,211.00,211.50,-3.50,"17,122"
106/06/26,"60,140,797","12,848,925,735",212.00,215.00,212.00,215.00,X0.00,"20,653"
106/06/23,"39,686,091","8,627,393,668",218.00,218.50,217.00,217.00,-1.00,"14,539"
106/06/22,"26,094,649","5,674,049,232",217.00,218.00,216.50,218.00,+2.50,"7,559"
106/06/21,"45,384,482","9,793,828,804",216.00,217.00,214.50,215.50,-1.00,"12,233"
106/06/20,"28,784,100","6,229,988,043",215.00,218.00,214.50,216.50,+3.50,"9,135"
106/06/19,"17,489,571","3,712,290,873",211.00,213.00,210.50,213.00,+1.50,"5,658"
106/06/16,"32,856,536","6,902,455,266",207.50,212.00,207.00,211.50,+3.50,"9,683"
106/06/15,"19,486,457","4,046,560,581",207.50,208.00,207.00,208.00,+1.00,"6,497"
106/06/14,"39,083,899","8,113,132,831",208.50,209.50,206.00,207.00,-1.00,"11,304"
106/06/13,"49,983,303","10,381,567,507",207.00,208.50,206.50,208.00,+0.50,"13,236"
106/06/12,"63,111,746","13,135,046,554",207.00,210.00,207.00,207.50,-4.50,"22,473"
106/06/09,"35,190,159","7,505,851,237",214.50,215.00,212.00,212.00,-1.00,"10,657"
106/06/08,"21,654,488","4,599,496,993",212.00,213.00,211.50,213.00,+1.50,"7,926"
106/06/07,"34,729,326","7,342,424,736",212.00,212.50,210.00,211.50,+1.00,"8,034"
106/06/06,"15,382,025","3,243,804,586",210.50,211.50,210.50,210.50,-1.50,"5,541"
106/06/05,"22,545,164","4,746,962,354",209.50,212.00,209.00,212.00,+3.00,"8,931"
106/06/03,"1,535,230","320,348,914",209.00,209.00,208.00,209.00, 0.00,"1,078"
106/06/02,"23,265,323","4,845,442,265",208.50,209.00,207.50,209.00,+2.00,"7,429"
106/06/01,"29,623,649","6,096,361,694",205.00,207.00,204.50,207.00,+4.00,"6,374"
106/05/31,"67,935,145","13,853,122,715",206.50,207.00,203.00,203.00,-4.00,"11,757"
106/05/26,"32,976,727","6,794,923,568",205.00,207.00,205.00,207.00, 0.00,"8,059"
106/05/25,"26,088,748","5,388,004,408",206.00,207.00,205.50,207.00,+1.50,"7,406"
106/05/24,"18,307,715","3,760,309,975",205.00,206.00,205.00,205.50,+0.50,"5,141"
106/05/23,"23,028,298","4,738,103,907",205.00,207.00,204.50,205.00, 0.00,"7,003"
106/05/22,"17,419,705","3,554,245,920",203.50,205.00,203.00,205.00,+2.00,"5,278"
106/05/19,"17,163,108","3,490,280,961",203.50,204.50,202.50,203.00,-0.50,"6,014"
106/05/18,"22,490,217","4,559,780,051",202.50,204.00,201.50,203.50,-0.50,"6,983"
106/05/17,"22,606,380","4,599,735,640",203.00,204.00,203.00,204.00,-0.50,"9,323"
106/05/16,"36,604,672","7,468,111,624",205.00,205.00,203.50,204.50,-1.50,"11,066"
106/05/15,"25,922,334","5,324,070,590",204.00,206.00,204.00,206.00, 0.00,"8,141"
106/05/12,"25,507,045","5,246,098,865",205.00,207.00,205.00,206.00,-1.50,"7,515"
106/05/11,"44,286,097","9,144,772,197",204.50,208.50,204.00,207.50,+2.00,"16,478"
106/05/10,"31,075,759","6,369,713,620",204.00,206.00,204.00,205.50,+2.00,"11,094"
106/05/09,"48,285,324","9,920,879,512",205.50,207.00,203.50,203.50,+1.00,"15,467"
106/05/08,"39,591,009","7,943,498,809",199.00,202.50,199.00,202.50,+5.00,"15,190"
106/05/05,"17,618,358","3,484,019,026",197.00,198.50,197.00,197.50,-0.50,"6,078"
106/05/04,"22,194,084","4,394,409,518",198.50,199.00,197.00,198.00, 0.00,"8,787"
106/05/03,"27,240,962","5,390,698,304",198.00,198.50,197.00,198.00,+1.50,"9,259"
106/05/02,"45,851,963","9,053,856,108",198.50,199.00,195.50,196.50,+2.00,"15,718"
106/04/28,"38,381,021","7,446,882,120",193.50,194.50,193.00,194.50,+1.50,"11,671"
106/04/27,"35,812,934","6,877,484,808",192.00,193.00,190.50,193.00,+2.00,"9,859"
106/04/26,"31,119,972","5,951,704,052",192.00,192.00,190.50,191.00,-1.00,"10,342"
106/04/25,"31,952,889","6,096,631,799",190.50,192.00,189.50,192.00,+2.00,"10,510"
106/04/24,"29,572,675","5,612,973,548",191.00,191.50,188.50,190.00, 0.00,"5,428"
106/04/21,"19,034,232","3,603,058,600",187.50,190.00,187.50,190.00,+3.00,"6,966"
106/04/20,"32,697,485","6,118,457,114",186.50,188.00,186.50,187.00,+0.50,"6,751"
106/04/19,"31,171,199","5,828,201,425",187.50,187.50,186.50,186.50,-1.50,"9,427"
106/04/18,"28,732,770","5,411,365,190",188.00,189.50,187.50,188.00,+0.50,"6,174"
106/04/17,"17,111,522","3,223,517,863",189.00,189.00,187.50,187.50,-1.50,"7,470"
106/04/14,"31,317,585","5,909,582,565",189.50,189.50,188.00,189.00,-2.50,"12,442"
106/04/13,"14,796,174","2,829,915,284",189.50,192.00,189.50,191.50,+0.50,"5,705"
106/04/12,"17,418,048","3,321,982,188",190.50,191.50,190.00,191.00, 0.00,"5,778"
106/04/11,"9,788,922","1,862,488,347",190.00,191.00,189.00,191.00,+1.00,"3,348"
106/04/10,"17,388,929","3,307,523,455",191.00,191.50,189.50,190.00,-1.00,"6,803"
106/04/07,"19,066,095","3,624,732,655",192.00,192.00,188.50,191.00,-0.50,"7,861"
106/04/06,"17,417,037","3,337,417,368",193.00,193.00,191.00,191.50,-1.50,"6,309"
106/04/05,"45,116,406","8,656,195,632",189.50,193.00,189.50,193.00,+4.00,"14,224"
106/03/31,"33,996,900","6,457,321,080",191.00,192.00,189.00,189.00,-2.50,"10,225"
106/03/30,"30,716,971","5,884,771,607",192.50,193.00,190.50,191.50, 0.00,"9,900"
106/03/29,"33,839,400","6,501,685,654",194.50,194.50,191.00,191.50,-3.00,"11,340"
106/03/28,"39,522,318","7,662,549,266",195.00,195.00,192.50,194.50,+1.50,"9,380"
106/03/27,"29,867,998","5,766,195,556",194.50,194.50,192.00,193.00,+0.50,"6,963"
106/03/24,"17,722,202","3,408,016,684",192.00,193.00,192.00,192.50,-1.00,"5,225"
106/03/23,"18,831,295","3,628,401,625",192.00,193.50,192.00,193.50, 0.00,"6,052"
106/03/22,"27,766,559","5,349,879,407",192.50,193.50,191.50,193.50,-1.50,"9,435"
106/03/21,"33,662,234","6,523,324,906",192.00,195.00,191.50,195.00,+3.50,"13,192"
106/03/20,"16,531,620","3,154,243,641",191.50,191.50,189.50,191.50, 0.00,"6,790"
106/03/17,"38,698,064","7,377,279,160",189.50,191.50,189.00,191.50,+1.50,"10,731"
106/03/16,"32,452,964","6,143,253,446",188.00,190.00,188.00,190.00,+3.50,"15,071"
106/03/15,"14,147,168","2,634,475,248",185.50,187.00,185.50,186.50,+0.50,"4,952"
106/03/14,"24,373,221","4,564,713,486",188.00,188.00,186.00,186.00,-0.50,"7,773"
106/03/13,"11,025,355","2,048,482,530",185.00,186.50,185.00,186.50,+3.00,"4,141"
106/03/10,"24,886,297","4,569,391,905",184.00,184.50,183.00,183.50,-1.00,"10,065"
106/03/09,"31,119,469","5,750,011,305",185.50,186.00,184.00,184.50,-2.50,"12,394"
106/03/08,"38,657,077","7,217,763,409",186.00,188.00,185.50,187.00,+1.50,"9,614"
106/03/07,"22,816,387","4,214,029,230",184.00,185.50,184.00,185.50,+2.00,"5,824"
106/03/06,"12,633,329","2,321,087,036",184.00,184.50,183.50,183.50,-0.50,"5,831"
106/03/03,"28,213,610","5,199,920,850",184.50,185.00,184.00,184.00,-2.00,"11,570"
106/03/02,"40,879,671","7,603,470,296",188.00,188.50,185.00,186.00, 0.00,"12,567"
106/03/01,"48,263,273","9,041,728,541",188.50,188.50,186.00,186.00,-3.00,"12,019"
106/02/24,"26,177,021","4,945,608,983",187.50,190.50,187.50,189.00,+0.50,"7,417"
106/02/23,"36,095,621","6,809,495,260",188.00,189.50,187.00,188.50, 0.00,"7,885"
106/02/22,"26,144,905","4,946,742,296",190.50,191.00,188.50,188.50,-1.50,"6,199"
106/02/21,"31,987,532","6,058,373,156",190.00,190.00,188.50,190.00, 0.00,"8,646"
106/02/20,"13,280,401","2,523,599,428",190.00,190.50,189.50,190.00,+0.50,"6,466"
106/02/18,"3,517,102","667,392,778",190.00,190.50,189.50,189.50, 0.00,"1,771"
106/02/17,"20,407,880","3,870,482,337",190.00,190.50,189.00,189.50,+0.50,"7,390"
106/02/16,"28,371,087","5,360,502,302",190.00,190.50,188.00,189.00, 0.00,"9,035"
106/02/15,"39,928,274","7,528,270,012",187.00,189.50,186.50,189.00,+1.50,"12,905"
106/02/14,"46,716,940","8,798,947,193",189.00,190.00,187.50,187.50, 0.00,"11,413"
106/02/13,"26,155,819","4,904,437,753",186.50,188.00,186.50,187.50,+2.00,"10,124"
106/02/10,"49,257,380","9,113,650,300",184.50,185.50,184.00,185.50,+1.50,"9,566"
106/02/09,"23,419,788","4,320,161,722",184.00,185.50,183.50,184.00,+0.50,"6,639"
106/02/08,"45,607,272","8,371,548,478",183.50,184.50,183.00,183.50,-1.00,"8,245"
106/02/07,"23,981,988","4,418,689,272",183.50,185.00,183.00,184.50, 0.00,"8,712"
106/02/06,"29,702,832","5,476,151,588",184.50,185.50,184.00,184.50, 0.00,"8,330"
106/02/03,"30,387,652","5,604,884,683",186.00,186.00,183.50,184.50, 0.00,"8,079"
106/02/02,"153,703,780","28,731,441,750",188.00,188.50,184.00,184.50,-1.00,"21,047"
106/01/24,"72,014,239","13,356,900,945",185.00,186.50,184.50,185.50,+0.50,"14,227"
106/01/23,"58,299,156","10,699,572,592",182.50,185.00,182.50,185.00,+4.00,"13,560"
106/01/20,"42,317,086","7,658,563,990",181.00,181.50,180.50,181.00,+0.50,"7,803"
106/01/19,"25,935,613","4,673,783,621",179.50,181.00,179.50,180.50,-0.50,"8,400"
106/01/18,"23,810,637","4,292,682,797",180.50,181.00,179.50,181.00, 0.00,"7,783"
106/01/17,"13,207,419","2,386,575,839",180.50,181.00,179.50,181.00,+1.50,"5,771"
106/01/16,"30,878,049","5,545,432,320",180.00,180.50,179.00,179.50,-2.00,"13,441"
106/01/13,"53,089,358","9,622,624,651",180.50,182.50,180.50,181.50,-3.00,"16,366"
106/01/12,"48,599,502","8,959,263,194",182.50,185.50,182.50,184.50,+2.50,"13,220"
106/01/11,"29,747,168","5,438,136,536",185.00,185.00,181.50,182.00,-2.00,"10,509"
106/01/10,"20,691,305","3,811,496,280",184.50,185.50,183.50,184.00, 0.00,"7,831"
106/01/09,"18,583,788","3,419,409,204",184.00,185.00,183.00,184.00, 0.00,"5,759"
106/01/06,"23,120,808","4,250,912,732",184.00,184.50,183.50,184.00,+0.50,"9,659"
106/01/05,"21,373,561","3,913,389,163",182.00,183.50,181.50,183.50,+0.50,"8,297"
106/01/04,"24,482,374","4,478,699,942",183.00,184.00,181.50,183.00, 0.00,"8,476"
106/01/03,"23,550,783","4,300,648,272",181.50,183.50,181.00,183.00,+1.50,"8,743"
